STATION_ID,STATION_NAME,LAT,LON,CAPACITY,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,OCCUPATION_RATIO,TOTAL_CAPACITY,RATIO
205,"C/ EUROPA, 25",41.3875610,2.1306737,33,7,25,0.2121,33,0.2121
206,"UAB - AV. DIAGONAL, 650",41.3897943,2.1328634,33,0,31,0.0000,33,0.0000
207,"AV. DIAGONAL, 634",41.3908477,2.1365790,25,3,18,0.1200,25,0.1200
208,"AV. DIAGONAL, 630",41.3915195,2.1390667,33,1,29,0.0303,33,0.0303
209,"C/ DIPUTACIÓ, 200",41.3857425,2.1610515,26,15,9,0.5769,26,0.5769
210,"C/ VILARDELL, 18",41.3745238,2.1422556,31,6,25,0.1935,31,0.1935
211,"C/ SANCHO DE ÁVILA, 60-64",41.3987543,2.1902116,28,26,1,0.9286,28,0.9286
212,"AV. SARRIÀ, 163",41.3922355,2.1309272,24,3,21,0.1250,24,0.1250
213,"C/ SANTA FE DE NOU MÈXIC, 2",41.3935816,2.1345892,33,1,32,0.0303,33,0.0303
214,"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,25,4,21,0.1600,25,0.1600
215,"C/ GANDUXER, 29",41.3939378,2.1380304,21,3,18,0.1429,21,0.1429
216,"C/ MADRAZO, 131",41.3967824,2.1445567,27,2,24,0.0741,27,0.0741
217,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,27,0,24,0.0000,27,0.0000
218,"C/ CONSELL DE CENT, 566",41.4040364,2.1831450,39,5,31,0.1282,39,0.1282
219,"C/ LAFORJA, 74-76",41.3976165,2.1471724,23,2,20,0.0870,23,0.0870
220,"C/ TUSET, 19",41.3960982,2.1513154,27,14,12,0.5185,27,0.5185
221,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",41.4025392,2.1524704,24,5,17,0.2083,24,0.2083
222,"C/ DEL CANÓ, 1",41.4013296,2.1574439,27,6,19,0.2222,27,0.2222
223,"C/ DE BONAVISTA, 14",41.3983444,2.1598243,36,5,30,0.1389,36,0.1389
224,"C / GIRONA, 176",41.3999967,2.1644531,26,1,24,0.0385,26,0.0385
225,"C/ VILADOMAT, 200",41.3848102,2.1508071,25,3,20,0.1200,25,0.1200
226,"C/ MONTMANY, 1",41.4035608,2.1609345,27,9,15,0.3333,27,0.3333
227,"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,18,2,15,0.1111,18,0.1111
228,"PL. DEL NORD, 5",41.4068417,2.1558354,21,8,12,0.3810,21,0.3810
229,"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREIN",41.4050968,2.1569161,28,11,16,0.3929,28,0.3929
230,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,26,1,25,0.0385,26,0.0385
231,"C/ PAU ALSINA, 54",41.4092005,2.1640029,24,3,20,0.1250,24,0.1250
232,"C/ MATA, 2",41.3732903,2.1710273,27,18,8,0.6667,27,0.6667
233,"C/ NOU DE LA RAMBLA, 164",41.3719688,2.1667829,27,9,18,0.3333,27,0.3333
234,"PG. DE L´EXPOSICIÓ, 38 /BLASCO GARAY",41.3715320,2.1622030,27,6,20,0.2222,27,0.2222
235,"AV. PARAL.LEL, 98",41.3751767,2.1658972,21,16,3,0.7619,21,0.7619
236,"AV. PARAL.LEL, 194",41.3751161,2.1523091,26,6,19,0.2308,26,0.2308
237,"C/ RIUS I TAULET, 4",41.3727426,2.1539198,27,9,18,0.3333,27,0.3333
238,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,27,10,15,0.3704,27,0.3704
